
 Word-based means:
 0.00 0.00 0.00 0.00 0.00  with
 0.25 0.05 0.00 0.00 0.00  each
 0.25 0.13 0.00 0.04  man
 0.00 0.00 0.00  on
 0.00 0.00 0.00 0.06  the
 0.06 0.14 0.00 0.04  top
 0.00 0.08 0.00  of
 0.00 0.00 0.07 0.07  the
 0.00 0.00  a
 0.36 0.00 0.00 0.00 0.00 0.29 0.50  finger
 0.58 0.64 0.75 0.47 0.00 0.07 0.60 0.00 1.00  entwined
 0.00 0.00 0.04  in
 0.00 0.00 0.20 0.00  his
 0.00 0.00 0.00 0.03  the
 0.12 0.20 0.08 0.00 0.00 0.13  place
 0.18 0.00 0.00 0.00  for
 0.00 0.00  a
 0.38 0.57 0.08 0.14 0.07 0.25  snark
 0.00 0.00  i
 0.22 0.07 0.00 0.05 0.00  have
 0.11 0.13 0.00 0.00 0.00  said
 0.00 0.00 0.00  it
 0.00 0.33 0.00 0.10 0.00 0.00  alone
 1.00 0.17 0.00 0.00 0.00 0.00 0.00  should
 0.75 0.75 0.25 0.20 0.00 0.00 0.06 0.40 0.00 0.20  encourage
 0.00 0.00 0.00 0.00  the
 0.00 0.00 0.00 0.04  the
 0.08 0.00 0.00 0.10 0.00 0.07  place
 0.06 0.00 0.00 0.04  for
 0.00 0.00  a
 0.54 0.33 0.14 0.00 0.13 0.00  snark
 0.00 0.00  i
 0.26 0.19 0.00 0.00 0.25  have
 0.25 0.00 0.00 0.00 0.12  said
 0.00 0.00 0.00  it
 0.00 0.00  i
 0.11 0.07 0.00 0.10 0.14  tell
 0.00 0.00 0.00 0.00  you
 0.50 0.22 0.13 0.00 0.08 0.10  three
 0.13 0.08 0.00 0.04 0.06 0.08  times
 0.00 0.00 0.05  is
 0.00 0.00 0.00 0.00 0.04  crew
 0.00 0.00 0.00 0.00  was
 0.40 0.21 0.33 0.16 0.06 0.10 0.00 0.00 0.17  complete
 0.00 0.00 0.00  it
 0.88 0.20 0.33 0.31 0.18 0.06 0.27 0.67 0.00  included
 0.00 0.00  a
 0.00 0.00 0.00 0.00 0.03 0.12  maker
 0.00 0.00 0.00  of
 0.71 0.25 0.18 0.19 0.07 0.00 0.10 0.00  bonnets
 0.07 0.00 0.00 0.00  and
 0.00 0.00 0.00 0.00 0.20 0.00 0.08 0.30 0.50 0.00  barrister
 0.29 0.13 0.13 0.06 0.07 0.00 0.00 0.14  brought
 0.00 0.00 0.00  to
 0.50 0.50 0.38 0.17 0.00 0.12 0.40 0.00  arrange
