
 Word-based means:
 0.50 0.14 0.03 0.18 0.23  said
 0.33 0.20 0.03 0.18 0.25  with
 0.50 0.17 0.00 0.13 0.18  ones
 0.70 0.00 0.50 0.19 0.10 0.30 0.20 1.00  fingers
 0.20 0.14 0.05 0.10  and
 0.00 0.27 0.07 0.11 0.26  with
 0.27 0.09 0.12 0.06 0.29 0.33  tears
 0.17 0.00 0.05 0.18  how
 0.21 0.03 0.00  in
 0.35 0.83 0.25 0.14 0.09 0.33 0.43 1.00  earlier
 0.20 0.04 0.04 0.13  had
 0.71 0.36 0.14 0.11 0.35 0.00  taken
 0.11 0.00 0.04  no
 0.79 0.33 0.21 0.00 0.20 0.17  pains
 0.25 0.06 0.15 0.04 0.45  with
 0.44 0.14 0.00 0.12  its
 1.00 1.00 0.26 0.02 0.23 0.67  thing
 0.33 0.00 0.07 0.13  can
 0.19 0.00 0.08  be
 0.79 0.29 0.05 0.03 0.18  done
 0.63 0.17 0.00 0.04 0.53  said
 0.38 0.11 0.06 0.04  the
 0.45 0.50 0.22 0.36 0.13 0.46 0.40 0.00  butcher
 0.04 0.00  i
 0.00 0.29 0.07 0.03 0.32 0.60  thing
 0.57 0.25 0.06 0.08 0.33  must
 0.05 0.03 0.00  be
 0.59 0.31 0.04 0.05 0.38  done
 0.10 0.02  i
 0.50 0.18 0.09  am
 0.00 0.25 0.04 0.10 0.20 0.17  thing
 0.43 0.57 0.09 0.07 0.26 0.50  shall
 0.25 0.00 0.03  be
 0.73 0.00 0.10 0.17 0.33  done
 0.38 0.10 0.09 0.17 0.17 0.25  bring
 0.05 0.03 0.03  me
 0.67 0.00 0.27 0.00 0.29 0.17  paper
 0.25 0.00 0.02 0.23  and
 0.00 0.13 0.03 0.03 0.45  best
 0.20 0.22 0.00 0.03 0.06 0.40  there
 0.11 0.00 0.04  is
 0.41 0.10 0.04 0.13 0.15  time
 0.21 0.00 0.03  to
 0.00 0.40 0.44 0.04 0.06 0.21 1.00  beaver
 0.00 0.80 0.50 0.05 0.03 0.25 0.40 1.00  brought
