file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
42,3,,217,17318,,47.82007607776839,50.48674274443504,156.64928853198086,0.8666666666666667,0.23333333333333334,0.6333333333333333,0.13333333333333333,30,103.93809908765445
42,4,,217,7857,,66.55986394557823,66.55986394557823,122.86768707482993,0.65625,0.375,0.28125,0.34375,32,244.36807941962581
42,5,,217,5356,,46.51148459383754,49.89383753501401,72.83998599439775,0.53125,0.21875,0.3125,0.46875,32,358.4764749813293
42,6,,217,12010,,55.06007326007325,55.06007326007325,125.13928571428572,0.7647058823529411,0.23529411764705882,0.5294117647058824,0.23529411764705882,34,169.85845129059118
42,7,,217,9260,,39.323602484472055,42.696066252588,101.3868530020704,0.71875,0.1875,0.53125,0.28125,32,207.34341252699784
41,3,,219,9515,,55.2125,56.49583333333334,113.77986111111112,0.7058823529411765,0.2647058823529412,0.4411764705882353,0.29411764705882354,34,214.3983184445612
41,1,,219,2448,,66.63333333333333,66.63333333333333,123.28888888888889,1.0,0.2,0.8,0.0,5,122.54901960784312
41,2,,219,13875,,54.65936868686869,55.03664141414142,168.20652236652236,0.8,0.04,0.76,0.2,25,108.10810810810811
41,4,,219,5811,,56.485119047619044,56.485119047619044,97.58794642857143,0.5517241379310345,0.1724137931034483,0.3793103448275862,0.4482758620689655,29,299.4321115126484
41,5,,219,7694,,60.88511904761905,62.269734432234436,98.73351648351648,0.7647058823529411,0.4411764705882353,0.3235294117647059,0.23529411764705882,34,265.1416688328568
41,6,,219,7362,,47.871343537414965,50.2046768707483,91.30547052154195,0.7777777777777778,0.25925925925925924,0.5185185185185185,0.2222222222222222,27,220.04889975550122
41,7,,219,4425,,42.59892857142857,42.59892857142857,44.53642857142857,0.7142857142857143,0.6428571428571429,0.07142857142857142,0.2857142857142857,28,379.66101694915255
42,2,,219,10790,,47.83630952380952,48.9000850340136,108.2108418367347,0.875,0.28125,0.59375,0.125,32,177.94253938832253
42,1,,219,1782,,50.87830687830688,50.87830687830688,69.64153439153439,0.5454545454545454,0.18181818181818182,0.36363636363636365,0.45454545454545453,11,370.3703703703704
42,3,,219,8354,,42.30696703296703,43.43458608058608,78.38438095238095,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,30,215.46564519990426
42,4,,219,11093,,69.14403393541325,69.14403393541325,110.20429666119323,0.90625,0.34375,0.5625,0.09375,32,173.08212386189487
42,5,,219,8035,,83.03184523809523,83.03184523809523,115.08531746031747,0.75,0.375,0.375,0.25,32,238.954573739888
42,6,,219,10155,,54.02054673721341,55.42054673721341,107.34647266313932,0.7941176470588235,0.14705882352941177,0.6470588235294118,0.20588235294117646,34,200.88626292466768
42,7,,219,7206,,58.86292517006803,58.86292517006803,83.44535147392291,0.65625,0.4375,0.21875,0.34375,32,266.4446294754371
41,2,,221,15138,,51.8519520602854,51.8519520602854,159.92968975468978,0.72,0.16,0.56,0.28,25,99.08838684106222
41,3,,221,10223,,59.64972527472527,60.380494505494504,110.74203296703298,0.7647058823529411,0.4117647058823529,0.35294117647058826,0.23529411764705882,34,199.55003423652548
41,4,,221,11383,,72.59563492063494,72.59563492063494,122.21981074481074,0.896551724137931,0.3103448275862069,0.5862068965517241,0.10344827586206896,29,152.85952736536942
