file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
32,3,,016,7878,,55.99578754578754,55.99578754578754,77.32478632478633,0.8387096774193549,0.45161290322580644,0.3870967741935484,0.16129032258064516,31,236.1005331302361
32,1,,016,821,,33.0625,33.0625,37.8125,0.8,0.6,0.2,0.2,5,365.40803897685754
32,2,,016,11103,,53.721070148489495,53.721070148489495,78.70332821300562,0.9393939393939394,0.5757575757575758,0.36363636363636365,0.06060606060606061,33,178.33018103215346
32,4,,016,10829,,58.27042328042329,58.27042328042329,91.94018518518516,0.8571428571428571,0.34285714285714286,0.5142857142857142,0.14285714285714285,35,193.923723335488
32,5,,016,14184,,57.136224489795914,57.136224489795914,130.92993197278912,0.8235294117647058,0.2647058823529412,0.5588235294117647,0.17647058823529413,34,143.82402707275804
32,6,,016,4561,,40.25925925925926,40.25925925925926,62.11481481481482,0.5,0.3055555555555556,0.19444444444444445,0.5,36,473.5803551852664
32,7,,016,3972,,68.72500000000001,68.72500000000001,147.08333333333334,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.6363636363636364,33,498.4894259818731
31,2,,017,14417,,46.38000992063491,46.38000992063491,142.95714285714283,0.8275862068965517,0.2413793103448276,0.5862068965517241,0.1724137931034483,29,120.69085107858778
31,3,,017,8255,,46.82138447971781,46.82138447971781,72.85903880070546,0.7941176470588235,0.4411764705882353,0.35294117647058826,0.20588235294117646,34,247.12295578437306
31,4,,017,7656,,48.59806547619048,48.59806547619048,77.6673611111111,0.75,0.375,0.375,0.25,32,250.78369905956112
31,5,,017,11089,,77.50587606837607,77.50587606837607,119.32542735042733,0.7647058823529411,0.3235294117647059,0.4411764705882353,0.23529411764705882,34,183.966092524123
31,6,,017,10501,,65.47984126984127,65.47984126984127,109.0327380952381,0.6896551724137931,0.27586206896551724,0.41379310344827586,0.3103448275862069,29,165.69850490429485
31,7,,017,9171,,55.464926739926746,55.464926739926746,84.57174908424909,0.7647058823529411,0.4411764705882353,0.3235294117647059,0.23529411764705882,34,222.4403009486425
32,2,,017,16692,,56.40931013431013,56.40931013431013,135.43885836385837,0.7878787878787878,0.21212121212121213,0.5757575757575758,0.21212121212121213,33,118.61969805895039
32,1,,017,1317,,60.96527777777778,60.96527777777778,80.36805555555556,0.8,0.4,0.4,0.2,5,227.79043280182233
32,3,,017,8757,,65.90545112781955,65.90545112781955,115.11086048454469,0.6129032258064516,0.2903225806451613,0.3225806451612903,0.3870967741935484,31,212.40150736553616
32,4,,017,12811,,62.80371315192743,62.80371315192743,120.00966553287981,0.8,0.37142857142857144,0.42857142857142855,0.2,35,163.92162984934822
32,5,,017,6391,,61.41464285714286,61.41464285714286,85.38880952380951,0.5882352941176471,0.35294117647058826,0.23529411764705882,0.4117647058823529,34,319.19887341574093
32,6,,017,7695,,67.17063492063492,67.17063492063492,79.44444444444444,0.75,0.5555555555555556,0.19444444444444445,0.25,36,280.7017543859649
